FQDN;Thumbprint;ExpirationDate;Status
OPT-IIS-07.optimedit.eu;238B5F2EEA509338C9CD884EF42CD0890E9C3454;Aug 27 15:35:35 2026 GMT;VALIDE
OPT-IIS-08.optimedit.eu;F9771621182D363AD118813C4F770ABC433F6363;Aug 29 10:58:19 2026 GMT;VALIDE
OPT-IIS-09.optimedit.eu;645FE95A974D5ED01F8AA911D1A7DF3F8F3CD3C9;Aug 30 08:51:28 2026 GMT;VALIDE
OPT-IIS-10.optimedit.eu;366EEFF8F37B04B7D9C0A9DC5237CF03598F6D72;Sep 2 09:30:15 2026 GMT;VALIDE
OPT-IIS-11.optimedit.eu;2D42DB596F782BA2D35D5EEBFA0DEBFE49F290BD;Sep 1 08:32:05 2026 GMT;VALIDE
